unique_id,amount,date_time_of_pickup,longitude_of_pickup,latitude_of_pickup,longitude_of_dropoff,latitude_of_dropoff,no_of_passenger,pickup_day,pickup_month,pickup_year,pickup_weekday,pickup_hour,mid_night_trip,rush_hour_trip,snow_season,pickup_manhattan,pickup_jfk,pickup_brooklyn,pickup_bronx,pickup_laGuardia,drop_manhattan,drop_jfk,drop_brooklyn,drop_bronx,drop_laGuardia,isAirportTrip
11:16.0,9.5,2012-11-25 02:11:16 UTC,-73.985373,40.741911,-74.005227,40.715571,2,25,11,2012,6,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0
46:51.0,8.5,2011-03-07 06:46:51 UTC,-73.99447316,40.76090815,-73.95974556,40.77373395,1,7,3,2011,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0
38:48.0,11.7,2009-03-20 12:38:48 UTC,-73.983427,40.730203,-73.988912,40.752789,1,20,3,2009,4,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0
35:00.0,6.5,2014-07-16 10:35:00 UTC,-73.994628,40.741102,-73.987987,40.746582,1,16,7,2014,2,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23:02.0,8.5,2013-01-07 15:23:02 UTC,-73.982489,40.76856,-73.965233,40.753008,1,7,1,2013,0,15,0,0,1,1,0,0,0,0,1,0,0,0,0,0
55:00.0,5.7,2011-04-15 19:55:00 UTC,-73.992152,40.754025,-73.980067,40.746108,5,15,4,2011,4,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0
23:56.0,6.1,2012-02-09 23:23:56 UTC,-73.967863,40.755371,-73.983882,40.743973,1,9,2,2012,3,23,0,0,1,1,0,0,0,0,1,0,0,0,0,0
45:56.0,4.9,2010-01-25 20:45:56 UTC,-73.97242,40.78646,-73.953662,40.779158,1,25,1,2010,0,20,0,1,1,1,0,0,0,0,1,0,0,0,0,0
59:55.0,10.9,2009-11-28 23:59:55 UTC,-73.990304,40.730539,-73.991536,40.769949,2,28,11,2009,5,23,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32:00.0,13.3,2011-01-29 12:32:00 UTC,-73.962153,40.759495,-73.996258,40.72547,5,29,1,2011,5,12,0,0,1,1,0,0,0,0,1,0,0,0,0,0
16:36.0,6.5,2013-09-19 21:16:36 UTC,-73.989892,40.687675,-73.978536,40.696054,1,19,9,2013,3,21,0,0,0,0,0,1,0,0,0,0,1,0,0,0
01:52.0,6.9,2011-05-19 00:01:52 UTC,-73.999674,40.72013,-73.986478,40.726402,1,19,5,2011,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
24:00.0,4.5,2009-04-16 11:24:00 UTC,-74.007735,40.732238,-74.000533,40.74274,1,16,4,2009,3,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0
47:00.0,9.5,2013-01-24 14:47:00 UTC,-73.953252,40.775525,-73.970805,40.760832,2,24,1,2013,3,14,0,0,1,1,0,0,0,0,1,0,0,0,0,0
52:00.0,6.9,2010-05-04 15:52:00 UTC,-73.990375,40.756882,-73.97168,40.758428,5,4,5,2010,1,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0
56:00.0,11.7,2011-07-24 09:56:00 UTC,-74.003573,40.723682,-74.00122,40.762642,3,24,7,2011,6,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
39:00.0,13.3,2009-11-29 19:39:00 UTC,-73.986237,40.761707,-73.993868,40.72308,1,29,11,2009,6,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0
37:52.0,8.1,2011-01-30 14:37:52 UTC,-73.985965,40.757467,-73.98287,40.777207,1,30,1,2011,6,14,0,0,1,1,0,0,0,0,1,0,0,0,0,0
23:02.0,11.5,2015-01-05 14:23:02 UTC,-73.97284698,40.7624588,-73.9618988,40.778759,3,5,1,2015,0,14,0,0,1,1,0,0,0,0,1,0,0,0,0,0
03:50.0,57.83,2014-11-17 08:03:50 UTC,-73.977535,40.776902,-73.873198,40.774412,2,17,11,2014,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1
41:42.0,16.5,2015-03-11 19:41:42 UTC,-73.98256683,40.76278305,-74.00080109,40.74717331,1,11,3,2015,2,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0
37:00.0,10.5,2013-10-01 17:37:00 UTC,-74.01288,40.710832,-74.009732,40.741472,1,1,10,2013,1,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0
21:00.0,6.9,2011-11-25 18:21:00 UTC,-73.968358,40.764803,-73.955763,40.78482,1,25,11,2011,4,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0
30:00.0,6.5,2009-11-16 14:30:00 UTC,-73.999758,40.738422,-73.996623,40.72347,1,16,11,2009,0,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12:00.0,9.3,2011-06-25 14:12:00 UTC,-73.992938,40.748158,-73.993717,40.755887,1,25,6,2011,5,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28:00.0,9.3,2012-05-03 21:28:00 UTC,-73.972108,40.759308,-73.999263,40.761322,1,3,5,2012,3,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0
02:00.0,5.5,2013-10-17 10:02:00 UTC,-73.99021,40.756522,-73.979755,40.759247,1,17,10,2013,3,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0
54:56.0,9.7,2010-06-19 15:54:56 UTC,-73.991552,40.744607,-73.95847,40.783278,1,19,6,2010,5,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0
48:00.0,13.0,2012-09-07 12:48:00 UTC,-73.953507,40.79098,-73.978715,40.766765,6,7,9,2012,4,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32:00.0,5.7,2009-10-02 12:32:00 UTC,-74.006013,40.735098,-73.994615,40.736532,1,2,10,2009,4,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0
46:00.0,10.1,2011-07-10 19:46:00 UTC,-73.965827,40.805398,-73.990068,40.766768,1,10,7,2011,6,19,0,1,0,1,0,0,0,0,1,0,0,0,0,0
48:00.0,7.3,2011-04-06 08:48:00 UTC,-73.984647,40.760235,-73.986767,40.755782,2,6,4,2011,2,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20:00.0,41.3,2011-09-22 22:20:00 UTC,-73.992962,40.697722,-73.82416,40.679675,5,22,9,2011,3,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0
02:00.0,9.3,2011-09-15 12:02:00 UTC,-74.007543,40.732785,-73.984857,40.742078,2,15,9,2011,3,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0
50:43.0,5.3,2010-10-08 16:50:43 UTC,-73.973999,40.794791,-73.981724,40.782033,1,8,10,2010,4,16,0,1,0,1,0,0,0,0,1,0,0,0,0,0
20:00.0,29.0,2014-01-16 21:20:00 UTC,-73.87299,40.774057,-73.979355,40.765032,5,16,1,2014,3,21,0,0,1,0,0,0,0,1,1,0,0,0,0,1
43:00.0,4.1,2012-02-19 00:43:00 UTC,-73.985778,40.76938,-73.980615,40.76578,1,19,2,2012,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
09:00.0,8.5,2010-06-07 07:09:00 UTC,-73.985183,40.738452,-73.982815,40.75682,5,7,6,2010,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11:31.0,14.0,2015-04-25 23:11:31 UTC,-73.98721313,40.73236847,-73.9588623,40.7718811,1,25,4,2015,5,23,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12:00.0,26.1,2009-08-13 17:12:00 UTC,-73.871117,40.773665,-73.988558,40.714153,1,13,8,2009,3,17,0,1,0,0,0,0,0,1,1,0,0,0,0,1
08:47.0,8.5,2013-12-19 18:08:47 UTC,-73.988733,40.76135,-73.990515,40.756575,1,19,12,2013,3,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0
57:29.0,5.0,2013-03-01 08:57:29 UTC,-73.968785,40.801125,-73.961187,40.806855,1,1,3,2013,4,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14:27.0,6.1,2012-02-24 22:14:27 UTC,-73.99274,40.753275,-73.982999,40.769295,2,24,2,2012,4,22,0,0,1,1,0,0,0,0,1,0,0,0,0,0
40:00.0,9.5,2013-08-26 14:40:00 UTC,-73.98751,40.747465,-73.976385,40.76559,2,26,8,2013,0,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
31:00.0,9.5,2012-12-15 20:31:00 UTC,-74.000272,40.742885,-73.98576,40.7627,1,15,12,2012,5,20,0,1,0,1,0,0,0,0,1,0,0,0,0,0
51:00.0,8.5,2009-10-28 13:51:00 UTC,-73.97748,40.780043,-73.969427,40.76363,5,28,10,2009,2,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10:34.0,6.9,2012-05-13 08:10:34 UTC,-73.954753,40.778268,-73.978893,40.781577,1,13,5,2012,6,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
50:00.0,15.7,2012-05-13 17:50:00 UTC,-73.95202,40.782997,-73.977592,40.721532,1,13,5,2012,6,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0
43:00.0,14.0,2012-11-26 10:43:00 UTC,-73.962228,40.773242,-73.948958,40.8093,1,26,11,2012,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22:00.0,13.0,2014-02-06 12:22:00 UTC,-73.961872,40.770297,-73.977422,40.753775,1,6,2,2014,3,12,0,0,1,1,0,0,0,0,1,0,0,0,0,0
50:20.0,15.5,2014-01-09 12:50:20 UTC,-74.001618,40.71563,-73.989067,40.748145,1,9,1,2014,3,12,0,0,1,1,0,0,0,0,1,0,0,0,0,0
09:39.0,5.3,2009-04-27 18:09:39 UTC,-73.959708,40.776554,-73.960602,40.763219,2,27,4,2009,0,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0
53:00.0,12.9,2011-02-17 17:53:00 UTC,-73.982288,40.776823,-73.994005,40.735485,1,17,2,2011,3,17,0,1,1,1,0,0,0,0,1,0,0,0,0,0
21:38.0,6.5,2011-01-16 03:21:38 UTC,-73.987287,40.720205,-73.983615,40.73803,1,16,1,2011,6,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0
08:02.0,10.9,2009-06-14 21:08:02 UTC,-73.99409,40.751203,-73.959043,40.763834,1,14,6,2009,6,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21:26.0,8.9,2009-12-12 03:21:26 UTC,-73.950966,40.760912,-73.944263,40.756874,2,12,12,2009,5,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0
41:00.0,3.3,2011-07-14 00:41:00 UTC,-73.985482,40.758897,-73.982043,40.758903,1,14,7,2011,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
03:00.0,12.5,2014-10-19 00:03:00 UTC,-73.98139,40.72897,-73.95097,40.77477,1,19,10,2014,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
33:00.0,10.5,2012-03-09 17:33:00 UTC,-73.984037,40.780273,-73.972687,40.753565,2,9,3,2012,4,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0
48:22.0,12.5,2010-12-16 20:48:22 UTC,-73.992983,40.719754,-74.002241,40.686107,2,16,12,2010,3,20,0,1,0,1,0,0,0,0,0,0,1,0,0,0
21:41.0,8.9,2009-11-09 23:21:41 UTC,-73.987867,40.754037,-73.978628,40.729649,1,9,11,2009,0,23,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41:35.0,5.7,2011-09-26 14:41:35 UTC,-73.973099,40.758746,-73.98017,40.765055,2,26,9,2011,0,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18:46.0,4.5,2011-04-04 13:18:46 UTC,-73.965887,40.754378,-73.975695,40.757137,1,4,4,2011,0,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12:12.0,4.9,2011-12-16 21:12:12 UTC,-73.9998,40.7181,-73.9948,40.7279,1,16,12,2011,4,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0
48:04.0,6.0,2015-02-20 08:48:04 UTC,-73.98638916,40.73768234,-73.98976135,40.74168777,1,20,2,2015,4,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0
24:00.0,4.9,2010-11-14 14:24:00 UTC,-73.981235,40.780903,-73.974782,40.793343,1,14,11,2010,6,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0
38:00.0,49.0,2013-07-14 16:38:00 UTC,-73.978055,40.788765,-73.97332,40.673027,1,14,7,2013,6,16,0,1,0,1,0,0,0,0,0,0,1,0,0,0
